n,mask,t,x,y,z
30,126,1.0,4.9198736279428115,31.787037736577226,5.9849950330058395
30,126,1.0,4.919873627942812,31.787037736577226,5.98499503300584
31,126,1.0333333333333334,5.12813464195692,31.586143102814283,5.945613065014403
32,126,1.0666666666666669,5.143696832662648,31.563451877577858,5.869790838123047
33,126,1.1,5.334709577644487,31.36429360428612,5.7527442162134825
34,126,1.1333333333333333,5.388277358770814,31.33662321233779,5.667489023544574
35,126,1.1666666666666667,5.593860530097546,31.219105636664185,5.45382006049355
36,126,1.2,5.602702976238767,31.10735300702442,5.266951683305826
37,124,1.2333333333333334,6.126454764574253,30.3074347191497,4.479515369702485
38,124,1.2666666666666666,6.303634353777447,30.050814146090346,3.991319207308529
39,124,1.3,6.532513655221304,29.92778720984394,3.476275382049542
40,124,1.3333333333333333,6.631415935825416,29.892523418397623,2.8587975160569274
41,124,1.3666666666666667,6.848791742899206,29.684776896870844,2.195323598111817
42,124,1.4,6.902544696563607,29.48594583665591,1.7463924007807443
43,124,1.4333333333333331,7.099851744922946,29.42295440102353,1.3917997127151305
44,124,1.4666666666666666,7.021908794889356,29.455600145464107,0.9892363471113323
45,124,1.5,7.023401953637647,29.505848863611103,1.4904684795973704
46,124,1.5333333333333334,7.086172235992358,29.412636379721288,1.8650173288705192
47,124,1.5666666666666669,7.079757968010827,29.425930191223106,2.3123160055937886
48,124,1.6,7.119325609466518,29.25128567984673,2.9098548704869933
49,124,1.6333333333333333,7.1618217991323485,29.23376204733357,3.3086403463069702
50,124,1.6666666666666667,7.197974484118964,29.16171325385471,3.8342443426540083
51,124,1.7,7.2093980888542415,29.121479872970344,4.213605638899835
52,124,1.7333333333333334,7.19719346198616,28.922664597258986,4.589629984652371
53,124,1.7666666666666666,7.216096694249655,28.906530672911693,4.865880945650041
54,124,1.8,7.222844041401185,28.730199756540475,5.197153933448748
55,124,1.8333333333333333,7.2163903796522515,28.70620306681699,5.3283317350473025
56,124,1.8666666666666667,7.194358351845043,28.613640814584947,5.564935421857907
57,124,1.9,7.156420725089502,28.5301758036585,5.677607567037701
58,124,1.9333333333333331,7.081771401777455,28.306662109276157,5.773348009975585
59,124,1.9666666666666663,7.0556920339493265,28.25580936174443,5.825799086485106
60,124,2.0,7.001518150844357,28.015924131885924,5.827820785731447
61,124,2.033333333333333,6.930283462114152,27.99207337914505,5.792212929175264
62,124,2.066666666666667,6.8835296662504515,27.81150879768888,5.731345438222562
